loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationSpeedAccuracy,locationCourse,locationCourseAccuracy,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerTimestamp_sinceReboot,magnetometerX,magnetometerY,magnetometerZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionHeading,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_Timestamp_since1970,IP_en0,IP_pdp_ip0,deviceID,deviceOrientationTimeStamp_since1970,deviceOrientation,batteryTimeStamp_since1970,batteryState,batteryLevel,label
1698758231.808045,1,1698758231.186496,62.52388115972774,6.264099314587528,-10.05839,0.0,0.642366,-1.0,-1.0,21.27500916530035,9.738499813155784,-9999,1698758231.79567,109.9683227539062,-552.6874389648438,-385.2789001464844,178.1911773681641,175.5381927490234,14.43131065368652,199821.4204244167,0.0086212158203125,-0.9702301025390624,-0.2154083251953125,199821.3918564167,-0.0367803834378719,0.0970738157629966,0.0792218521237373,199821.4207064167,133.3318481445312,-645.1217041015625,-656.5257568359375,199821.3806774167,1.44737912843568,0.1988527375489933,1.324838207298998,-0.0649298951029777,-0.0266899690032005,-0.0640972927212715,-0.0020178891718387,-0.00723797082901,0.0009102970361709,2,0.4067783090041727,0.463883019005691,0.5652825232973518,0.5475397101050208,0.0480994097888469,-0.9699044823646544,-0.2386879026889801,110.0360870361328,-552.4522094726562,-384.7606506347656,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,199819.05192,0,4.317551,100.4565,0.0,0,0,0,0,1,1698758231.801021,1,0.75,0
1698758232.799077,31,1698758232.186612,62.52388115972774,6.264099314587528,-10.05839,0.0,0.5236148,-1.0,-1.0,21.96573900474994,9.417926659489606,-9999,1698758232.789458,109.8211517333984,-552.6251220703125,-384.9101867675781,178.3735961914062,175.7206115722656,14.43195629119873,199822.4265065,0.0435028076171875,-0.98114013671875,-0.240966796875,199822.3979395,0.0006942860782146,0.0085900258272886,0.04379728063941,199822.4160755,133.1963806152344,-644.9805908203125,-655.9246826171875,199822.3942125,1.442006764372883,0.2023936531819572,1.325554678108321,0.0014081064146012,-0.0126614598557353,0.0381491743028163,0.0044790580868721,-0.0122365355491638,-0.0096620321273803,2,0.4072498375123015,0.4639287166590289,0.5644078829246992,0.5480525619881728,0.0488046072423458,-0.970078706741333,-0.2378354370594025,109.7496185302734,-552.9376831054688,-384.9022521972656,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,199819.642898,0,4.288483,100.4569,1698758231.829108,0,1685690884,0,0,1,1698758231.801021,1,0.75,0
1698758233.802615,61,1698758233.18659,62.52388115972774,6.264099314587528,-10.05839,0.0,0.502944,-1.0,-1.0,22.89508062764178,9.18515855913948,-9999,1698758233.783032,110.2062377929688,-552.6316528320312,-385.3365173339844,178.4746246337891,175.8216400146484,14.43299102783203,199823.43259,0.0613861083984375,-0.9723358154296876,-0.2467803955078125,199823.404022,-0.0023728765081614,0.0160186477005481,0.0060395165346562,199823.411435,133.5144195556641,-645.0416259765625,-656.55810546875,199823.407748,1.436238323149737,0.2069455329247019,1.326365575512758,0.0001795585267245,0.0324898213148117,0.0128874536603689,0.0145143829286098,0.0014488101005554,-0.0100917816162109,2,0.4075605235646291,0.4641916538123052,0.5636148172497937,0.5484150556143683,0.0497250817716121,-0.9702752232551576,-0.2368410527706146,110.1879272460938,-552.5502319335938,-385.1897888183594,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,199820.643474,0,4.288483,100.4569,1698758231.829108,0,1685690884,0,0,1,1698758231.801021,1,0.75,0
1698758234.811408,91,1698758234.186592,62.52388115972774,6.264099314587528,-10.05839,0.0,0.4169514,-1.0,-1.0,25.93789828551872,9.842382018183024,-9999,1698758234.796456,110.0144195556641,-552.728271484375,-384.6623840332031,178.4536285400391,175.8006439208984,14.4334774017334,199824.43867275,0.037933349609375,-0.9901580810546876,-0.2334747314453125,199824.41010475,0.0021073594689369,0.0353188402950763,-0.0186578407883644,199824.43688875,133.4382934570312,-645.2008056640625,-655.7460327148438,199824.42128375,1.438425548539504,0.204906924504176,1.326758312438764,0.0014769085682928,-0.0166249312460422,-0.0112585481256246,-0.0173957683145999,0.0098446011543273,0.0052148252725601,2,0.407751459670694,0.4641707753407525,0.5637317391874562,0.5481704653906558,0.0491645410656929,-0.9703702330589294,-0.2365684807300568,109.7967987060547,-552.8198852539062,-384.8021545410156,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,199821.644043,0,4.256775,100.4573,1698758231.829108,0,1685690884,0,0,1,1698758231.801021,1,0.75,0
1698758235.815252,121,1698758235.13713,62.52388115972774,6.264099314587528,-10.05839,0.0,0.4428701,-1.0,-1.0,20.17875476531399,7.233072527835753,-9999,1698758235.810302,110.0478668212891,-553.8871459960938,-385.8995056152344,178.2511596679688,175.5981750488281,14.43397045135498,199825.444758625,0.052337646484375,-0.9729461669921876,-0.2493133544921875,199825.416190625,-0.0201478786766529,-0.0130553478375077,0.0578531809151172,199825.432212625,133.2920532226562,-646.2866821289062,-657.1873779296875,199825.434821625,1.451535196119468,0.1934082686681765,1.321844163834671,-0.0176303386688232,-0.0051731700077652,0.0307248625904321,-0.0210205130279064,0.009255826473236,0.0114943385124206,2,0.4064156245052029,0.4625243435318315,0.5658346166277053,0.5483875775160777,0.0473571494221687,-0.969171106815338,-0.2417951375246048,110.0478668212891,-553.8871459960938,-385.8995056152344,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,199822.644622,0,4.230354,100.4576,1698758231.829108,0,1685690884,0,0,1,1698758231.801021,1,0.75,0
1698758236.82338,151,1698758236.086248,62.52388115972774,6.264099314587528,-10.05839,0.0,0.3931905,-1.0,-1.0,32.17408373797156,11.10910333584983,-9999,1698758236.819386,110.1655731201172,-552.4297485351562,-384.6189880371094,178.1427917480469,175.4898071289062,14.4346981048584,199826.4508467917,0.0420989990234375,-0.9781341552734376,-0.24090576171875,199826.4222787917,-0.0057540256530046,0.0302652269601821,-0.0018607506062835,199826.4275337917,133.3916625976562,-644.8248291015625,-655.6798095703125,199826.4483617917,1.448023709812026,0.2001683705604875,1.324667449826308,-0.0156856402754783,0.0082636317238211,0.0037534828297793,-0.0024107135832309,-0.0166943669319152,-0.0071995556354522,2,0.4062030909628491,0.4643332987345923,0.5657558374304222,0.5470962087341322,0.0484464354813098,-0.9698628783226012,-0.2387872785329819,110.1914520263672,-552.39111328125,-384.5435485839844,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,199823.645203,0,4.211853,100.4578,1698758231.829108,0,1685690884,0,0,1,1698758231.801021,1,0.75,0
1698758237.830184,181,1698758237.036248,62.52388115972774,6.264099314587528,-10.05839,0.0,0.4451543,-1.0,-1.0,21.16107967524626,7.27756196284234,-9999,1698758237.817162,109.5664520263672,-552.2977905273438,-384.2452087402344,177.9737701416016,175.3207855224609,14.43573093414307,199827.45693225,0.0445556640625,-0.973663330078125,-0.2380828857421875,199827.42836525,-0.0021241372451186,0.0125480163842439,-0.0034522556234151,199827.43001025,132.8055114746094,-644.6163330078125,-655.2713623046875,199827.40228125,1.450924770116207,0.199929991193908,1.325340427146075,0.0011009437730535,0.0130339749157428,-0.0087134046480059,-0.0034752637147903,0.0014748573303222,-0.0010380148887634,2,0.4058078541615391,0.4650168404246021,0.5663836982388594,0.5461583882896035,0.0482597909867763,-0.970026671886444,-0.238158643245697,109.5430755615234,-552.1820068359375,-384.2008972167969,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,199824.645776,0,4.203926,100.4579,1698758231.829108,0,1685690884,0,0,1,1698758231.801021,1,0.75,0
1698758238.834396,211,1698758237.986883,62.52388115972774,6.264099314587528,-10.05839,0.0,0.5737897,-1.0,-1.0,23.99461515847152,7.720969601291811,-9999,1698758238.829438,109.6864624023438,-552.7615356445312,-383.8177795410156,177.6877288818359,175.0347442626953,14.43619918823242,199828.463021125,0.034759521484375,-0.962432861328125,-0.2303314208984375,199828.434453125,-0.0105069689452648,0.0112915365025401,-0.0021582257468253,199828.433208125,132.9940032958984,-645.2010498046875,-655.0219116210938,199828.415821125,1.459984823432193,0.1941688240485402,1.325943091825603,0.0012641511857509,0.0075134066864848,0.0035864929668605,-0.0048888213932514,0.001056432723999,0.0008905231952667,2,0.4055222756229458,0.4654266518558671,0.567580802399274,0.5447770379508038,0.0467741899192333,-0.9701729416847228,-0.2378594279289246,109.8190612792969,-552.919189453125,-384.2041931152344,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,199825.646352,0,4.203926,100.4579,1698758231.829108,0,1685690884,0,0,1,1698758231.801021,1,0.75,0
1698758239.837969,241,1698758238.974096,62.52388115972774,6.264099314587528,-10.05839,0.0,0.5051178,-1.0,-1.0,39.8290463038502,12.7539312090898,-9999,1698758239.823163,109.4200897216797,-552.7440185546875,-385.0118103027344,177.4323883056641,174.7794036865234,14.43666839599609,199829.4691102917,0.0380859375,-0.976806640625,-0.2384796142578125,199829.4405422917,-0.0050221891142427,0.02393489331007,0.0047244476154446,199829.4682142917,133.0212097167969,-644.8042602539062,-656.083984375,199829.4293642917,1.460914421789592,0.1991208036285757,1.324959933298844,-0.0070914318785071,0.0060343882068991,0.0056918361224234,-0.0002733021974563,-0.0062319040298461,-0.0045127570629119,2,0.4035914266658625,0.4667270299187775,0.5690078609275895,0.5436084444293777,0.0481401197612285,-0.969934105873108,-0.238559678196907,109.455322265625,-552.7110595703125,-384.9445495605469,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,199826.646929,0,4.230354,100.4576,1698758231.829108,0,1685690884,0,0,1,1698758231.801021,1,0.75,0
1698758240.844253,271,1698758239.974095,62.52388115972774,6.264099314587528,-10.05839,0.0,0.426644,-1.0,-1.0,35.67085566352525,11.27318455854131,-9999,1698758240.836665,109.6017761230469,-552.7208251953125,-385.4720153808594,177.1322479248047,174.4792633056641,14.43733978271484,199830.4752014167,0.051513671875,-0.9817352294921876,-0.2359161376953125,199830.4466334167,0.0068419273011386,0.019082348793745,0.0046376287937164,199830.4569504167,132.8656616210938,-645.179931640625,-656.640869140625,199830.4429064167,1.462465322300355,0.2037665744299942,1.324452877958639,0.0011093352222815,0.0043622683733701,-0.0026973583735525,9.104609489440918e-05,-0.009285032749176,-0.0090027451515197,2,0.4017469553869607,0.4681792371516109,0.5704527800886977,0.5422098250060428,0.0493474304676055,-0.9698106050491332,-0.2388151735067368,109.6082458496094,-552.4949951171875,-385.4046936035156,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,199827.647504,0,4.272629,100.4571,1698758231.829108,0,1685690884,0,0,1,1698758231.801021,1,0.75,0
